#Puck,v_x (m/s), v_y (m/s)
0,0.214015,0.110815
1,0.0418577,-0.0390142
2,-0.556871,0.423161
3,0.0185201,0.051625
4,-0.0517923,0.213389
5,0.0371155,0.440486
6,-0.132752,-0.309541
7,-0.0740532,0.00973793
8,-0.0415489,0.28257
9,-0.0799198,-0.00990336
10,0.161994,-0.350363
11,0.455794,0.117171
12,0.28452,0.155079
13,-0.46595,-0.185934
14,-0.0736806,0.297753
15,-0.255105,-0.146584
16,0.0353873,-0.573189
17,-0.0939348,0.533632
18,0.239265,0.0585075
19,0.435645,-0.0748505
20,-0.186358,0.19562
0,0.257739,0.105867
1,0.0384867,-0.044668
2,-0.464443,0.377116
3,0.023458,0.0450797
4,-0.0199813,0.13071
5,0.0570454,0.436284
6,-0.130502,-0.327778
7,-0.0722382,0.00281496
8,-0.0354613,0.281378
9,0.357574,-0.0719078
10,0.136048,-0.276009
11,0.381696,0.292304
12,0.288091,0.151699
13,-0.445002,-0.196865
14,-0.0754175,0.291546
15,-0.253031,-0.151048
16,0.0383769,-0.569292
17,-0.0917402,0.5276
18,0.247411,0.0587741
19,0.441595,-0.089882
20,-0.176382,0.195237
0,0.0906402,0.121582
1,0.0441074,-0.0474251
2,-0.167031,0.45102
3,0.0236758,0.0506839
4,0.0133129,0.141459
5,0.0426113,0.432921
6,-0.121577,-0.305223
7,-0.0685042,-0.0044453
8,0.0835995,0.237982
9,0.34051,-0.0784567
10,0.134707,-0.361642
11,0.523961,-0.0117855
12,0.287035,0.150144
13,-0.577378,-0.25158
14,-0.481491,0.256236
15,-0.240908,-0.150773
16,0.0508052,-0.576676
17,-0.0906337,0.513365
18,0.2455,0.0575472
19,0.44117,-0.0892791
20,-0.182123,0.190049
0,-0.07935,0.113819
1,0.0368086,-0.0383084
2,-0.169887,0.461302
3,0.023288,0.0504193
4,0.00120943,0.179282
5,0.0582346,0.0119068
6,-0.133351,-0.313141
7,-0.0712029,0.0210777
8,0.210522,0.268684
9,0.332586,-0.069476
10,0.0683346,-0.335608
11,0.244135,0.816441
12,0.283594,0.157507
13,-0.53927,-0.296547
14,-0.500994,0.264624
15,0.341972,-0.178516
16,0.0441157,-0.546107
17,0.110593,-0.24182
18,0.237476,0.0636688
19,0.433432,-0.0786423
20,-0.186297,0.197083
0,-0.0779696,0.110003
1,0.0429697,-0.0431425
2,-0.168521,0.450924
3,0.0258061,0.0514816
4,0.0016671,0.187458
5,-0.13741,0.0102673
6,-0.118587,-0.301552
7,-0.0830706,0.580383
8,0.209316,0.265639
9,0.356429,-0.0706285
10,0.219282,-0.0499616
11,0.199347,0.321154
12,0.282537,0.155136
13,-0.473098,-0.314613
14,-0.498366,0.25619
15,0.594982,-0.192983
16,0.0503048,-0.57386
17,-0.107527,0.517659
18,0.237358,0.0657384
19,0.294245,-0.22992
20,-0.186991,0.194854
0,-0.0777674,0.106166
1,0.0379371,-0.0466274
2,-0.171202,0.448654
3,0.0272756,0.042898
4,0.0133699,0.13232
5,0.0291348,-0.88342
6,-0.114269,-0.306907
7,-0.0565827,0.57339
8,0.213727,0.262398
9,0.339317,-0.0681398
10,-0.0844717,0.0111146
11,0.208368,0.305334
12,0.285587,0.150684
13,-0.43395,-0.285049
14,-0.0530412,0.289664
15,0.602167,-0.201186
16,0.0440955,-0.576262
17,-0.0992523,0.504457
18,0.236822,0.0651309
19,0.119154,-0.386045
20,-0.182872,0.189386
0,-0.0799189,0.106402
1,0.0410508,-0.0445412
2,-0.179745,0.44914
3,0.227174,-0.238785
4,0.00487448,-0.315805
5,0.0241831,-0.880509
6,-0.182896,-0.260555
7,-0.0446179,0.578526
8,0.203965,0.267537
9,0.331099,-0.0670002
10,-0.428519,-0.0185219
11,0.201246,0.307261
12,0.282687,0.152616
13,-0.390429,-0.315266
14,0.267236,0.311452
15,0.595072,-0.192371
16,-0.0731893,-0.444936
17,-0.0941977,0.510408
18,0.236011,0.0625935
19,0.0579993,-0.213376
20,-0.13283,0.145926
0,-0.0711919,0.113133
1,0.0363344,-0.0460447
2,-0.172903,0.43127
3,0.252686,-0.270501
4,0.0152245,-0.369457
5,0.0268795,-0.879645
6,-0.325162,-0.192518
7,-0.0709717,0.589304
8,0.19048,0.265747
9,0.290032,-0.0627249
10,-0.354118,-0.0325645
11,0.205468,0.305068
12,0.282482,0.152943
13,-0.356444,-0.315286
14,0.254855,0.317529
15,0.59645,-0.194235
16,-0.264444,-0.262024
17,-0.103476,0.52474
18,0.232181,0.0679891
19,0.200568,-0.354556
20,-0.00737008,0.0313101
0,-0.0810888,0.10368
1,0.0420084,-0.0489746
